track_uri,artist_uri,dan,ene,aco,val,artist_genres
spotify:track:0XJGSevJm70oos1HatS4JM,"spotify:artist:7lmS4i78QiCItTnqn205cl, spotify:artist:56OjNTX2bkrdGcB0staUOV",0.733,0.409,0.468,0.575,bedroom pop
spotify:track:4JdYapRlYv67LnjrkDhZVX,spotify:artist:2HpfqDQ8DBQlnrbAsdIh7s,0.209,0.142,0.902,0.0386,corecore
spotify:track:6bmJYo1KS2X2nzQrCGzdOe,"spotify:artist:0b3fYxnG6tlR0zLtBJd8DF, spotify:artist:2pAWfrd7WFF3XhVt9GooDL, spotify:artist:2dBj3prW7gP9bCCOIQeDUf, spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8",0.894,0.458,0.0666,0.682,"alternative hip hop,alternative hip hop,east coast hip hop,hip hop,instrumental hip hop,rap,alternative hip hop,mashup,atl hip hop,pop rap"
spotify:track:3jVniYVNCrwQvvWJpReosr,spotify:artist:6AyATGg7mDgBlZ4N5uNog0,0.46,0.208,0.954,0.151,modern indie pop
spotify:track:3qhlB30KknSejmIvZZLjOD,spotify:artist:5p9HO3XC5P3BLxJs5Mtrhm,0.689,0.454,0.0351,0.912,"pov: indie,psychedelic pop"
spotify:track:4cHzLJYgiEO0gd46pioLWV,spotify:artist:2UvzehEVGcYTPKNwJSZ2kM,0.557,0.856,0.0000657,0.379,"alternative emo,anthem emo,dreamo,emo,pop punk"
spotify:track:36Yw1hE6Ktp1SrrclWWsjZ,"spotify:artist:51Blml2LZPmy7TTiAg47vQ, spotify:artist:6oBm8HB0yfrIc9IHbxs6in",0.397,0.542,0.0427,0.509,"irish rock,permanent wave,rock,art pop,electropop,indietronica,neo-synthpop,swedish electropop,swedish indie pop,swedish pop"
spotify:track:1hJN8hZvzEvOvqX32jSSrw,"spotify:artist:4YrKBkKSVeqDamzBPWVnSJ, spotify:artist:6PfSUFtkMVoDkx4MQkzOi3",0.616,0.86,0.0521,0.468,"alternative dance,big beat,electronica,bubblegum bass,hyper-rock,hyperpop,proto-hyperpop"
spotify:track:66bLKGXOk3kPWWHP7Tbrki,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,0.475,0.885,0.0000224,0.413,"dance pop,pop"
spotify:track:49oKnEjgRSs3DMXScEU2G1,"spotify:artist:4596e2d3KmYzAeVenjCxfj, spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:3jK9MiCrA42lLAdMGUZpwa",0.642,0.784,0.429,0.518,"alternative r&b,indie soul,east coast hip hop,hip hop,rap,escape room,hip hop,indie soul,neo soul"
spotify:track:36rGHuDic2vIpOdFxjrNjO,spotify:artist:59JQHcm1Bbj4ZNZkDdrEfJ,0.248,0.468,0.949,0.197,
spotify:track:5q6Dklr8t5zEMD3TuHSpze,spotify:artist:3YrAMtgGeFZCc4JCQI9mfr,0.424,0.857,0.00216,0.264,chill breakcore
spotify:track:5wZdxehFNOdgRFVHiZ5IUC,spotify:artist:4wPeDqxPKkBN50kr8XhEma,0.59,0.686,0.365,0.866,
spotify:track:25ThByn5IcA33YJODtE9xC,spotify:artist:5dHfLBNU8zoypgKefzEB1c,0.612,0.592,0.0332,0.743,folk-pop
spotify:track:21yPwIPwerL4pxf19LvEGn,spotify:artist:31U6NSHBgz425cHygspVPZ,0.552,0.389,0.608,0.147,
spotify:track:1pqGwiN4oGvu5tg421QRXb,spotify:artist:6Ib0Di9b3kMxw9yD0DAyAC,0.725,0.598,0.086,0.464,bedroom pop
spotify:track:4vmqU3xlzuhxtaeXrtAX1F,spotify:artist:6U3ybJ9UHNKEdsH7ktGBZ7,0.769,0.405,0.141,0.341,"hip hop,pop rap,rap,underground hip hop"
spotify:track:49CHpBYoeE9j0QIXy9dKI7,"spotify:artist:5cj0lLjcoR7YOSnhnX0Po5, spotify:artist:6USMTwO0MNDnKte5a5h0xx",0.566,0.877,0.0198,0.347,"dance pop,pop,pop rap,viral rap"
spotify:track:4gtzhQZFZPx0xV5ZOLqck0,spotify:artist:6trIghKwHRUyxwvm66HLHH,0.338,0.971,0.00814,0.242,"alternative r&b,indie r&b"
spotify:track:6cWHCl2w6H2mxLQsnTZguv,spotify:artist:1kgoGhvV1nEGVHFhY4VbcH,0.458,0.721,0.00164,0.346,
spotify:track:6XvlonZUoCpKoBgGQCUF5a,"spotify:artist:6jy0VQ5tLwEKBeMxZ1aK4J, spotify:artist:08dD0frW9WYHRGVa40oILp",0.215,0.725,0.0225,0.363,otacore
spotify:track:3XHrTm6WE2BOHafLwTT3GR,spotify:artist:1FWybrAwiSa0zKibdLfZZr,0.544,0.383,0.67,0.367,dream pop
spotify:track:2gb31QyfSG3j2QBYPjmRMx,spotify:artist:1l9d7B8W0IHy3LqWsxP2SH,0.643,0.775,0.195,0.415,"indietronica,metropopolis,neo-synthpop"
spotify:track:0qNRoqAohqJefbeZiTV1xF,spotify:artist:1WZarnZpWEv7dDtjAETt4X,0.304,0.628,0.00524,0.45,"ambient pop,hyper-rock"
spotify:track:7LuPjGUfJqxuW14W4gMrU2,spotify:artist:72X6FHxaShda0XeQw3vbeF,0.569,0.802,0.0194,0.477,"alternative rock,dream pop,reading indie,shoegaze"
spotify:track:0EqczV3o6fwksegAavIHpX,"spotify:artist:33rnQWadiG2aauIwIxPxfB, spotify:artist:2GBDI5PSiEnVoH0YnFFRLx",0.613,0.81,0.832,0.686,"ukrainian phonk,gym phonk"
spotify:track:1btk089EWkUYHO1XkLoDvy,spotify:artist:3aQeKQSyrW4qWr35idm0cy,0.271,0.894,0.00108,0.339,"dance pop,gangster rap,hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary"
